Teacher,Class,Registered,Attended,Class Time
Rick White,English - Language 2,91,29,14:00:00
James Harris,History - US History AP,150,79,15:30:00
George Martin,Science - Geology 2,23,2,08:00:00
Amy Roebuck,Gym 1,74,47,11:00:00
Harry James,Health 3B,111,24,12:00:00
Bill Sluss,Technology - Networking 1,10,7,12:30:00
John Jacob,Technology - Networking 2,11,11,15:00:00
Jim Jeffs,Technology - Networking 3,75,23,08:00:00
Jessica Taylor,Science - Biology 3,100,36,10:30:00
Jake Anderson,Science - Biology 4,118,32,09:30:00
Beverly Thomas,Science - Biology 1,49,25,12:00:00
Rick White,Health 3A,69,8,09:30:00
James Harris,Health 2,84,84,14:30:00
George Martin,Health 1,85,22,09:30:00
Amy Roebuck,Science - Geology 1,41,8,09:30:00
Harry James,History - World History AP,105,27,13:00:00
Bill Sluss,English - Language 2,61,15,14:00:00
John Jacob,Math - Algebra 2,100,55,10:30:00
Jim Jeffs,Technology - Programming  1,148,148,11:00:00
Jessica Taylor,Technology - Programming  3,80,29,09:00:00
Jake Anderson,Math - Algebra 1,31,31,11:00:00
Beverly Thomas,English - Language 1,124,71,11:30:00
Rick White,History - World History AP,128,20,12:00:00
James Harris,Science - Biology 2,102,64,11:30:00
George Martin,Gym 2,109,19,14:30:00
Amy Roebuck,Health 3A,31,6,13:00:00
Harry James,Technology - Programming  2,148,22,10:30:00
Bill Sluss,Math - Algebra 2,60,22,14:00:00
John Jacob,English - Language 2,49,49,16:00:00
Jim Jeffs,History - US History AP,34,24,15:30:00
Jessica Taylor,Science - Geology 2,67,23,10:30:00
Jake Anderson,Gym 1,59,59,13:00:00
Beverly Thomas,Health 3B,57,5,08:00:00
Rick White,Technology - Networking 1,137,37,09:30:00
James Harris,Technology - Networking 2,150,111,11:30:00
George Martin,Technology - Networking 3,36,11,13:30:00
Amy Roebuck,Science - Biology 3,67,5,09:30:00
Harry James,Science - Biology 4,73,12,15:30:00
Bill Sluss,Science - Biology 1,74,33,09:00:00
John Jacob,Health 3A,54,22,09:30:00
Jim Jeffs,Health 2,81,77,14:30:00
Jessica Taylor,Health 1,150,150,15:30:00
Jake Anderson,Science - Geology 1,144,144,11:00:00
Beverly Thomas,History - World History AP,67,9,08:30:00
Rick White,English - Language 2,128,12,10:00:00
James Harris,Math - Algebra 2,127,87,15:30:00
George Martin,Technology - Programming  1,134,85,14:30:00
Amy Roebuck,Technology - Programming  3,130,9,10:00:00
Harry James,Math - Algebra 1,61,45,14:30:00
Bill Sluss,English - Language 1,62,23,10:00:00
John Jacob,History - World History AP,35,35,16:00:00
Jim Jeffs,Science - Biology 2,132,105,15:00:00
Jessica Taylor,Gym 2,101,53,15:00:00
Jake Anderson,Health 3A,38,29,14:30:00
Beverly Thomas,Technology - Programming  2,76,9,09:00:00
Rick White,Math - Algebra 2,127,11,09:00:00
James Harris,English - Language 2,16,7,11:00:00
George Martin,History - US History AP,42,8,10:30:00
Amy Roebuck,Science - Geology 2,124,10,10:00:00
Harry James,Gym 1,149,83,12:30:00
Bill Sluss,Health 3B,33,3,10:00:00
John Jacob,Technology - Networking 1,125,125,14:00:00
Jim Jeffs,Technology - Networking 2,99,31,09:00:00
Jessica Taylor,Technology - Networking 3,135,30,10:00:00
Jake Anderson,Science - Biology 3,106,15,08:00:00
Beverly Thomas,Science - Biology 4,39,4,09:00:00
Rick White,Science - Biology 1,20,8,09:30:00
James Harris,Health 3A,24,9,13:30:00
George Martin,Health 2,44,3,08:00:00
Amy Roebuck,Health 1,139,90,11:30:00
Harry James,Science - Geology 1,61,12,09:00:00
Bill Sluss,History - World History AP,85,32,16:00:00
John Jacob,English - Language 2,134,99,11:30:00
Jim Jeffs,Math - Algebra 2,9,9,13:30:00
Jessica Taylor,Technology - Programming  1,111,111,11:00:00
Jake Anderson,Technology - Programming  3,150,126,13:30:00
Beverly Thomas,Math - Algebra 1,88,41,10:30:00
Rick White,English - Language 1,61,52,14:00:00
James Harris,History - World History AP,42,17,14:00:00
George Martin,Science - Biology 2,79,11,09:30:00
Amy Roebuck,Gym 2,12,2,08:00:00
Harry James,Health 3A,148,40,13:00:00
Bill Sluss,Technology - Programming  2,18,8,15:30:00
John Jacob,Math - Algebra 2,103,103,15:30:00
Jim Jeffs,English - Language 2,46,21,09:30:00
Jessica Taylor,History - US History AP,32,28,16:00:00
Jake Anderson,Science - Geology 2,116,28,10:30:00
Beverly Thomas,Gym 1,91,91,14:30:00
Rick White,Health 3B,121,25,11:30:00
James Harris,Technology - Networking 1,81,81,14:30:00
George Martin,Technology - Networking 2,47,11,16:00:00
Amy Roebuck,Technology - Networking 3,65,11,16:00:00
Harry James,Science - Biology 3,85,12,10:00:00
Bill Sluss,Science - Biology 4,82,27,14:30:00
John Jacob,Science - Biology 1,103,103,16:00:00
Jim Jeffs,Health 3A,49,9,09:30:00
Jessica Taylor,Health 2,121,27,08:30:00
Jake Anderson,Health 1,103,103,15:00:00
Beverly Thomas,Science - Geology 1,107,69,11:30:00
Rick White,History - World History AP,105,36,13:30:00
James Harris,English - Language 2,109,46,09:00:00
George Martin,Math - Algebra 2,29,7,15:30:00
Amy Roebuck,Technology - Programming  1,69,69,16:00:00
Harry James,Technology - Programming  3,38,9,11:00:00
Bill Sluss,Math - Algebra 1,89,21,10:00:00
John Jacob,English - Language 1,62,58,08:00:00
Jim Jeffs,History - World History AP,60,46,14:00:00
Jessica Taylor,Science - Biology 2,9,4,09:00:00
Jake Anderson,Gym 2,111,31,10:00:00
Beverly Thomas,Health 3A,82,4,08:00:00
Rick White,Technology - Programming  2,128,35,15:30:00
James Harris,Math - Algebra 2,19,15,16:00:00
George Martin,English - Language 2,25,4,08:30:00
Amy Roebuck,History - US History AP,64,10,14:30:00
Harry James,Science - Geology 2,60,12,13:00:00
Bill Sluss,Gym 1,49,29,12:00:00
John Jacob,Health 3B,32,28,15:00:00
Jim Jeffs,Technology - Networking 1,133,133,15:00:00
Jessica Taylor,Technology - Networking 2,27,16,11:00:00
Jake Anderson,Technology - Networking 3,42,31,13:00:00
Beverly Thomas,Science - Biology 3,113,15,10:30:00
Rick White,Science - Biology 4,112,24,14:00:00
James Harris,Science - Biology 1,131,131,14:00:00
George Martin,Health 3A,6,2,13:30:00
Amy Roebuck,Health 2,94,14,12:00:00
Harry James,Health 1,132,68,11:00:00
Bill Sluss,Science - Geology 1,108,46,13:30:00
John Jacob,History - World History AP,133,59,13:30:00
Jim Jeffs,English - Language 2,117,49,14:00:00
Jessica Taylor,Math - Algebra 2,29,20,16:00:00
Jake Anderson,Technology - Programming  1,117,117,11:30:00
Beverly Thomas,Technology - Programming  3,150,21,08:30:00
Rick White,Math - Algebra 1,96,50,14:30:00
James Harris,English - Language 1,85,78,09:30:00
George Martin,History - World History AP,12,3,15:00:00
Amy Roebuck,Science - Biology 2,29,13,15:30:00
Harry James,Gym 2,128,27,15:00:00
Bill Sluss,Health 3A,41,9,16:00:00
John Jacob,Technology - Programming  2,143,131,13:00:00
Jim Jeffs,Math - Algebra 2,52,29,15:00:00
Jessica Taylor,English - Language 2,33,17,10:00:00
Jake Anderson,History - US History AP,95,61,13:00:00
Beverly Thomas,Science - Geology 2,42,9,13:00:00
Rick White,Gym 1,63,37,15:30:00
James Harris,Health 3B,113,80,12:30:00
George Martin,Technology - Networking 1,28,11,14:00:00
Amy Roebuck,Technology - Networking 2,75,9,09:00:00
Harry James,Technology - Networking 3,137,15,11:30:00
Bill Sluss,Science - Biology 3,120,22,11:00:00
John Jacob,Science - Biology 4,137,36,10:30:00
Jim Jeffs,Science - Biology 1,31,31,14:00:00
Jessica Taylor,Health 3A,29,27,15:00:00
Jake Anderson,Health 2,122,120,16:00:00
Beverly Thomas,Health 1,100,98,15:00:00
Rick White,Science - Geology 1,88,77,14:30:00
James Harris,History - World History AP,22,11,14:30:00
George Martin,English - Language 2,34,4,11:00:00
Amy Roebuck,Math - Algebra 2,31,9,12:30:00
Harry James,Technology - Programming  1,92,50,12:00:00
Bill Sluss,Technology - Programming  3,9,2,11:00:00
John Jacob,Math - Algebra 1,144,144,10:30:00
Jim Jeffs,English - Language 1,7,7,12:00:00
Jessica Taylor,History - World History AP,51,20,14:00:00
Jake Anderson,Science - Biology 2,94,36,09:00:00
Beverly Thomas,Gym 2,87,7,11:00:00
Rick White,Health 3A,39,16,16:00:00
James Harris,Technology - Programming  2,150,78,13:30:00
George Martin,Math - Algebra 2,137,19,11:30:00
Amy Roebuck,English - Language 2,69,14,11:00:00
Harry James,History - US History AP,49,9,10:00:00
Bill Sluss,Science - Geology 2,102,15,12:00:00
John Jacob,Gym 1,35,35,15:00:00
Jim Jeffs,Health 3B,98,33,08:30:00
Jessica Taylor,Technology - Networking 1,42,42,11:00:00
Jake Anderson,Technology - Networking 2,106,47,12:00:00
Beverly Thomas,Technology - Networking 3,108,38,15:00:00
Rick White,Science - Biology 3,84,20,12:00:00
James Harris,Science - Biology 4,83,46,11:00:00
George Martin,Science - Biology 1,72,13,08:00:00
Amy Roebuck,Health 3A,17,4,11:00:00
Harry James,Health 2,50,11,10:30:00
Bill Sluss,Health 1,51,23,09:00:00
John Jacob,Science - Geology 1,90,40,08:30:00
Jim Jeffs,History - World History AP,30,15,12:30:00
Jessica Taylor,English - Language 2,96,61,11:00:00
Jake Anderson,Math - Algebra 2,81,33,08:30:00
Beverly Thomas,Technology - Programming  1,126,124,16:00:00
Rick White,Technology - Programming  3,52,20,15:00:00
James Harris,Math - Algebra 1,119,119,14:30:00
George Martin,English - Language 1,80,80,16:00:00
Amy Roebuck,History - World History AP,96,23,13:30:00
Harry James,Science - Biology 2,7,1,12:30:00
Bill Sluss,Gym 2,23,3,09:30:00
John Jacob,Health 3A,126,126,14:00:00
Jim Jeffs,Technology - Programming  2,6,2,10:30:00
Jessica Taylor,Math - Algebra 2,19,6,08:00:00
Jake Anderson,English - Language 2,95,15,09:00:00
Beverly Thomas,History - US History AP,97,8,09:30:00
Rick White,Science - Geology 2,30,13,15:30:00
James Harris,Gym 1,30,20,09:30:00
George Martin,Health 3B,134,65,16:00:00
Amy Roebuck,Technology - Networking 1,132,25,08:00:00
Harry James,Technology - Networking 2,103,12,09:30:00
Bill Sluss,Technology - Networking 3,102,16,14:30:00
John Jacob,Science - Biology 3,12,3,09:30:00
Jim Jeffs,Science - Biology 4,60,25,12:00:00
Jessica Taylor,Science - Biology 1,130,130,13:30:00
Jake Anderson,Health 3A,34,26,15:30:00
Beverly Thomas,Health 2,149,9,08:00:00
Rick White,Health 1,75,46,15:30:00
James Harris,Science - Geology 1,86,86,15:30:00
George Martin,History - World History AP,79,8,09:00:00
Amy Roebuck,English - Language 2,111,28,12:00:00
Harry James,Math - Algebra 2,77,10,09:30:00
Bill Sluss,Technology - Programming  1,99,58,11:30:00
John Jacob,Technology - Programming  3,28,23,13:30:00
Jim Jeffs,Math - Algebra 1,116,68,10:00:00
Jessica Taylor,English - Language 1,43,43,09:00:00
Jake Anderson,History - World History AP,32,16,13:30:00
Beverly Thomas,Science - Biology 2,122,19,12:00:00
Rick White,Gym 2,65,23,15:00:00
James Harris,Health 3A,41,26,15:00:00
George Martin,Technology - Programming  2,15,4,11:30:00
Amy Roebuck,Math - Algebra 2,67,5,08:00:00
Harry James,English - Language 2,86,14,10:00:00
Bill Sluss,History - US History AP,20,5,13:00:00
John Jacob,Science - Geology 2,31,7,10:00:00
Jim Jeffs,Gym 1,55,55,13:30:00
Jessica Taylor,Health 3B,85,23,11:00:00
Jake Anderson,Technology - Networking 1,60,60,12:00:00
Beverly Thomas,Technology - Networking 2,24,3,10:30:00
Rick White,Technology - Networking 3,77,7,09:00:00
James Harris,Science - Biology 3,142,104,14:30:00
George Martin,Science - Biology 4,41,7,13:00:00
Amy Roebuck,Science - Biology 1,70,70,14:30:00
Harry James,Health 3A,78,14,13:00:00
Bill Sluss,Health 2,97,30,15:00:00
John Jacob,Health 1,61,55,08:00:00
Jim Jeffs,Science - Geology 1,105,105,10:00:00
Jessica Taylor,History - World History AP,85,38,10:00:00
Jake Anderson,English - Language 2,17,4,09:00:00
Beverly Thomas,Math - Algebra 2,115,32,15:00:00
Rick White,Technology - Programming  1,113,47,12:00:00
James Harris,Technology - Programming  3,117,50,09:30:00
George Martin,Math - Algebra 1,75,27,09:30:00
Amy Roebuck,English - Language 1,100,94,14:30:00
Harry James,History - World History AP,74,9,08:30:00
Bill Sluss,Science - Biology 2,92,22,13:00:00
John Jacob,Gym 2,104,56,14:00:00
Jim Jeffs,Health 3A,34,26,12:30:00
Jessica Taylor,Technology - Programming  2,76,71,16:00:00
Jake Anderson,Math - Algebra 2,66,48,13:00:00
Beverly Thomas,English - Language 2,140,10,08:30:00
Rick White,History - US History AP,139,37,16:00:00
James Harris,Science - Geology 2,55,19,08:00:00
George Martin,Gym 1,91,73,13:30:00
Amy Roebuck,Health 3B,123,9,09:30:00
Harry James,Technology - Networking 1,109,29,11:00:00
Bill Sluss,Technology - Networking 2,104,48,16:00:00
John Jacob,Technology - Networking 3,146,62,15:00:00
Jim Jeffs,Science - Biology 3,70,48,14:00:00
Jessica Taylor,Science - Biology 4,98,56,12:30:00
Jake Anderson,Science - Biology 1,24,24,16:00:00
Beverly Thomas,Health 3A,93,15,13:00:00
Rick White,Health 2,31,7,15:00:00
James Harris,Health 1,7,7,11:30:00
George Martin,Science - Geology 1,90,70,12:00:00
Amy Roebuck,History - World History AP,146,15,09:00:00
Harry James,English - Language 2,68,16,14:30:00
Bill Sluss,Math - Algebra 2,16,3,10:00:00
John Jacob,Technology - Programming  1,47,47,15:00:00
Jim Jeffs,Technology - Programming  3,81,81,16:00:00
Jessica Taylor,Math - Algebra 1,47,34,08:00:00
Jake Anderson,English - Language 1,40,38,08:30:00
Beverly Thomas,History - World History AP,5,1,09:30:00
Rick White,Science - Biology 2,30,5,09:00:00
James Harris,Gym 2,103,88,16:00:00
George Martin,Health 3A,142,39,15:00:00
Amy Roebuck,Technology - Programming  2,100,33,13:30:00
Harry James,Math - Algebra 2,131,34,15:00:00
Bill Sluss,English - Language 2,131,27,12:30:00
John Jacob,History - US History AP,101,39,09:00:00
Jim Jeffs,Science - Geology 2,111,62,13:00:00
Jessica Taylor,Gym 1,77,77,11:30:00
Jake Anderson,Health 3B,122,52,15:00:00
Beverly Thomas,Technology - Networking 1,41,12,08:30:00
Rick White,Technology - Networking 2,38,12,13:00:00
James Harris,Technology - Networking 3,105,50,11:30:00
George Martin,Science - Biology 3,46,4,08:00:00
Amy Roebuck,Science - Biology 4,29,10,15:30:00
Harry James,Science - Biology 1,32,13,10:30:00
Bill Sluss,Health 3A,146,17,12:00:00
John Jacob,Health 2,68,21,10:00:00
Jim Jeffs,Health 1,49,49,12:00:00
Jessica Taylor,Science - Geology 1,88,88,10:30:00
Jake Anderson,History - World History AP,35,29,13:00:00
Beverly Thomas,English - Language 2,93,7,09:00:00
Rick White,Math - Algebra 2,62,6,08:00:00
James Harris,Technology - Programming  1,19,19,14:30:00
George Martin,Technology - Programming  3,41,4,10:30:00
Amy Roebuck,Math - Algebra 1,5,3,13:30:00
Harry James,English - Language 1,108,36,11:30:00
Bill Sluss,History - World History AP,44,7,09:30:00
John Jacob,Science - Biology 2,135,128,13:30:00
Jim Jeffs,Gym 2,34,10,09:30:00
Jessica Taylor,Health 3A,83,56,12:30:00
Jake Anderson,Technology - Programming  2,86,63,15:00:00
Beverly Thomas,Math - Algebra 2,46,5,11:00:00
Rick White,English - Language 2,118,24,10:30:00
James Harris,History - US History AP,27,16,14:30:00
George Martin,Science - Geology 2,48,16,13:30:00
Amy Roebuck,Gym 1,13,9,16:00:00
Harry James,Health 3B,120,34,13:30:00
Bill Sluss,Technology - Networking 1,11,7,16:00:00
John Jacob,Technology - Networking 2,98,36,08:30:00
Jim Jeffs,Technology - Networking 3,73,37,10:00:00
Jessica Taylor,Science - Biology 3,141,54,12:00:00
Jake Anderson,Science - Biology 4,108,108,16:00:00
Beverly Thomas,Science - Biology 1,34,12,11:30:00
Rick White,Health 3A,115,13,11:30:00
James Harris,Health 2,19,7,08:00:00
George Martin,Health 1,61,53,12:30:00
Amy Roebuck,Science - Geology 1,32,22,15:30:00
Harry James,History - World History AP,72,11,10:00:00
Bill Sluss,English - Language 2,25,5,13:30:00
John Jacob,Math - Algebra 2,136,108,15:30:00
Jim Jeffs,Technology - Programming  1,33,33,14:30:00
Jessica Taylor,Technology - Programming  3,55,27,12:00:00
Jake Anderson,Math - Algebra 1,122,80,09:30:00
Beverly Thomas,English - Language 1,117,42,10:00:00
Rick White,History - World History AP,58,5,10:30:00
James Harris,Science - Biology 2,52,46,16:00:00
George Martin,Gym 2,64,9,12:30:00
Amy Roebuck,Health 3A,102,21,10:30:00
Harry James,Technology - Programming  2,43,7,14:00:00
Bill Sluss,Math - Algebra 2,12,2,10:00:00
John Jacob,English - Language 2,25,9,08:30:00
Jim Jeffs,History - US History AP,146,48,11:00:00
Jessica Taylor,Science - Geology 2,70,57,15:00:00
Jake Anderson,Gym 1,36,36,09:30:00
Beverly Thomas,Health 3B,57,14,15:00:00
Rick White,Technology - Networking 1,145,91,13:00:00
James Harris,Technology - Networking 2,14,3,08:00:00
George Martin,Technology - Networking 3,125,59,16:00:00
Amy Roebuck,Science - Biology 3,57,21,14:00:00
Harry James,Science - Biology 4,49,16,15:30:00
Bill Sluss,Science - Biology 1,143,58,12:00:00
John Jacob,Health 3A,42,42,15:30:00
Jim Jeffs,Health 2,99,93,13:00:00
Jessica Taylor,Health 1,45,45,13:00:00
Jake Anderson,Science - Geology 1,13,12,11:00:00
Beverly Thomas,History - World History AP,51,12,12:30:00
Rick White,English - Language 2,56,12,16:00:00
James Harris,Math - Algebra 2,124,117,16:00:00
George Martin,Technology - Programming  1,18,8,12:00:00
Amy Roebuck,Technology - Programming  3,89,17,13:00:00
Harry James,Math - Algebra 1,39,12,10:00:00
Bill Sluss,English - Language 1,95,36,10:30:00
John Jacob,History - World History AP,35,18,11:00:00
Jim Jeffs,Science - Biology 2,44,40,13:00:00
Jessica Taylor,Gym 2,120,54,10:00:00
Jake Anderson,Health 3A,44,44,15:30:00
Beverly Thomas,Technology - Programming  2,28,4,09:00:00
Rick White,Math - Algebra 2,36,6,14:00:00
James Harris,English - Language 2,37,14,12:30:00
George Martin,History - US History AP,34,4,12:00:00
Amy Roebuck,Science - Geology 2,25,5,14:30:00
Harry James,Gym 1,53,24,11:00:00
Bill Sluss,Health 3B,95,24,13:00:00
John Jacob,Technology - Networking 1,131,131,10:00:00
Jim Jeffs,Technology - Networking 2,68,18,10:30:00
Jessica Taylor,Technology - Networking 3,96,53,10:00:00
Jake Anderson,Science - Biology 3,64,19,10:00:00
Beverly Thomas,Science - Biology 4,136,14,11:00:00
Rick White,Science - Biology 1,118,35,08:30:00
James Harris,Health 3A,33,11,10:30:00
George Martin,Health 2,6,2,10:30:00
Amy Roebuck,Health 1,25,15,15:30:00
Harry James,Science - Geology 1,125,30,10:00:00
Bill Sluss,History - World History AP,144,16,08:00:00
John Jacob,English - Language 2,123,42,09:00:00
Jim Jeffs,Math - Algebra 2,18,9,10:00:00
Jessica Taylor,Technology - Programming  1,149,149,12:00:00
Jake Anderson,Technology - Programming  3,119,37,09:30:00
Beverly Thomas,Math - Algebra 1,20,8,10:00:00
Rick White,English - Language 1,54,26,11:30:00
James Harris,History - World History AP,131,37,09:00:00
George Martin,Science - Biology 2,77,13,11:30:00
Amy Roebuck,Gym 2,73,19,13:30:00
Harry James,Health 3A,46,4,09:30:00
Bill Sluss,Technology - Programming  2,87,25,14:00:00
John Jacob,Math - Algebra 2,121,54,14:00:00
Jim Jeffs,English - Language 2,25,14,12:30:00
Jessica Taylor,History - US History AP,13,13,13:30:00
Jake Anderson,Science - Geology 2,138,130,15:30:00
Beverly Thomas,Gym 1,41,17,10:30:00
Rick White,Health 3B,40,6,11:30:00
James Harris,Technology - Networking 1,143,143,15:00:00
George Martin,Technology - Networking 2,129,12,08:00:00
Amy Roebuck,Technology - Networking 3,68,7,12:00:00
Harry James,Science - Biology 3,149,28,13:30:00
Bill Sluss,Science - Biology 4,131,17,11:00:00
John Jacob,Science - Biology 1,122,122,12:00:00
Jim Jeffs,Health 3A,12,7,11:00:00
Jessica Taylor,Health 2,145,41,10:30:00
Jake Anderson,Health 1,77,77,15:30:00
Beverly Thomas,Science - Geology 1,56,34,11:30:00
Rick White,History - World History AP,128,17,11:30:00
James Harris,English - Language 2,19,13,11:00:00
George Martin,Math - Algebra 2,51,15,16:00:00
Amy Roebuck,Technology - Programming  1,60,28,10:30:00
Harry James,Technology - Programming  3,96,11,11:30:00
Bill Sluss,Math - Algebra 1,53,9,08:30:00
John Jacob,English - Language 1,127,78,09:30:00
Jim Jeffs,History - World History AP,135,135,15:00:00
Jessica Taylor,Science - Biology 2,82,67,15:00:00
Jake Anderson,Gym 2,86,80,13:00:00
Beverly Thomas,Health 3A,89,19,11:00:00
Rick White,Technology - Programming  2,144,19,09:30:00
James Harris,Math - Algebra 2,142,35,08:30:00
George Martin,English - Language 2,9,3,14:00:00
Amy Roebuck,History - US History AP,77,16,11:30:00
Harry James,Science - Geology 2,101,28,14:00:00
Bill Sluss,Gym 1,21,14,11:30:00
John Jacob,Health 3B,7,6,14:30:00
Jim Jeffs,Technology - Networking 1,88,88,15:00:00
Jessica Taylor,Technology - Networking 2,126,48,08:30:00
Jake Anderson,Technology - Networking 3,66,57,15:00:00
Beverly Thomas,Science - Biology 3,141,56,14:30:00
Rick White,Science - Biology 4,107,15,11:00:00
James Harris,Science - Biology 1,147,53,08:00:00
George Martin,Health 3A,110,12,10:00:00
Amy Roebuck,Health 2,114,22,10:30:00
Harry James,Health 1,66,29,11:30:00
Bill Sluss,Science - Geology 1,10,7,16:00:00
John Jacob,History - World History AP,48,43,15:00:00
Jim Jeffs,English - Language 2,145,74,12:30:00
Jessica Taylor,Math - Algebra 2,70,54,13:30:00
Jake Anderson,Technology - Programming  1,40,40,12:30:00
Beverly Thomas,Technology - Programming  3,38,6,14:30:00
Rick White,Math - Algebra 1,17,8,09:00:00
James Harris,English - Language 1,97,83,08:00:00
George Martin,History - World History AP,122,34,15:30:00
Amy Roebuck,Science - Biology 2,87,6,08:30:00
Harry James,Gym 2,141,34,11:30:00
Bill Sluss,Health 3A,77,20,13:00:00
John Jacob,Technology - Programming  2,29,16,13:30:00
Jim Jeffs,Math - Algebra 2,77,38,11:00:00
Jessica Taylor,English - Language 2,105,29,09:00:00
Jake Anderson,History - US History AP,100,36,11:00:00
Beverly Thomas,Science - Geology 2,34,4,08:00:00
Rick White,Gym 1,34,17,14:30:00
James Harris,Health 3B,111,111,15:00:00
George Martin,Technology - Networking 1,69,51,15:00:00
Amy Roebuck,Technology - Networking 2,24,4,12:30:00
Harry James,Technology - Networking 3,89,20,12:30:00
Bill Sluss,Science - Biology 3,136,8,08:00:00
John Jacob,Science - Biology 4,115,17,08:00:00
Jim Jeffs,Science - Biology 1,20,19,08:00:00
Jessica Taylor,Health 3A,10,8,11:30:00
Jake Anderson,Health 2,5,2,09:30:00
Beverly Thomas,Health 1,141,141,15:00:00
Rick White,Science - Geology 1,65,39,12:30:00
James Harris,History - World History AP,149,93,13:00:00
George Martin,English - Language 2,107,9,08:00:00
Amy Roebuck,Math - Algebra 2,52,18,14:00:00
Harry James,Technology - Programming  1,28,15,11:30:00
Bill Sluss,Technology - Programming  3,83,9,08:00:00
John Jacob,Math - Algebra 1,59,59,15:30:00
Jim Jeffs,English - Language 1,89,89,11:30:00
Jessica Taylor,History - World History AP,71,45,14:00:00
Jake Anderson,Science - Biology 2,51,15,12:00:00
Beverly Thomas,Gym 2,108,21,15:00:00
Rick White,Health 3A,115,11,08:00:00
James Harris,Technology - Programming  2,136,47,13:00:00
George Martin,Math - Algebra 2,107,19,10:30:00
Amy Roebuck,English - Language 2,31,5,11:30:00
Harry James,History - US History AP,135,34,13:30:00
Bill Sluss,Science - Geology 2,115,41,15:00:00
John Jacob,Gym 1,137,137,08:00:00
Jim Jeffs,Health 3B,17,8,10:30:00
Jessica Taylor,Technology - Networking 1,117,117,09:30:00
Jake Anderson,Technology - Networking 2,67,22,11:00:00
Beverly Thomas,Technology - Networking 3,60,6,09:00:00
Rick White,Science - Biology 3,107,20,13:30:00
James Harris,Science - Biology 4,125,82,11:30:00
George Martin,Science - Biology 1,136,54,10:00:00
Amy Roebuck,Health 3A,150,31,11:00:00
Harry James,Health 2,131,22,11:00:00
Bill Sluss,Health 1,116,47,11:30:00
John Jacob,Science - Geology 1,18,14,11:30:00
Jim Jeffs,History - World History AP,9,3,12:00:00
Jessica Taylor,English - Language 2,136,87,11:30:00
Jake Anderson,Math - Algebra 2,123,40,10:30:00
Beverly Thomas,Technology - Programming  1,102,29,10:30:00
Rick White,Technology - Programming  3,69,25,14:00:00
James Harris,Math - Algebra 1,33,33,15:00:00
George Martin,English - Language 1,149,38,08:30:00
Amy Roebuck,History - World History AP,145,32,16:00:00
Harry James,Science - Biology 2,55,11,14:30:00
Bill Sluss,Gym 2,65,14,11:00:00
John Jacob,Health 3A,5,2,09:00:00
Jim Jeffs,Technology - Programming  2,19,9,09:30:00
Jessica Taylor,Math - Algebra 2,137,133,13:30:00
Jake Anderson,English - Language 2,129,118,15:00:00
Beverly Thomas,History - US History AP,76,13,12:00:00
Rick White,Science - Geology 2,104,5,08:00:00
James Harris,Gym 1,38,38,12:00:00
George Martin,Health 3B,122,11,08:30:00
Amy Roebuck,Technology - Networking 1,83,22,08:00:00
Harry James,Technology - Networking 2,109,15,10:30:00
Bill Sluss,Technology - Networking 3,91,8,10:00:00
John Jacob,Science - Biology 3,49,17,11:30:00
Jim Jeffs,Science - Biology 4,78,22,10:30:00
Jessica Taylor,Science - Biology 1,114,114,12:00:00
Jake Anderson,Health 3A,31,5,08:00:00
Beverly Thomas,Health 2,149,21,12:00:00
Rick White,Health 1,133,114,14:00:00
James Harris,Science - Geology 1,47,47,12:30:00
George Martin,History - World History AP,150,15,10:30:00
Amy Roebuck,English - Language 2,106,32,15:00:00
Harry James,Math - Algebra 2,134,27,13:30:00
Bill Sluss,Technology - Programming  1,96,45,11:00:00
John Jacob,Technology - Programming  3,74,24,08:00:00
Jim Jeffs,Math - Algebra 1,125,125,10:30:00
Jessica Taylor,English - Language 1,125,112,08:00:00
Jake Anderson,History - World History AP,77,43,12:30:00
Beverly Thomas,Science - Biology 2,96,12,10:00:00
Rick White,Gym 2,46,7,15:00:00
James Harris,Health 3A,110,40,08:00:00
George Martin,Technology - Programming  2,69,7,09:30:00
Amy Roebuck,Math - Algebra 2,112,16,12:30:00
Harry James,English - Language 2,48,12,12:00:00
Bill Sluss,History - US History AP,135,19,11:00:00
John Jacob,Science - Geology 2,90,43,14:00:00
Jim Jeffs,Gym 1,100,100,11:30:00
Jessica Taylor,Health 3B,61,45,16:00:00
Jake Anderson,Technology - Networking 1,78,77,08:00:00
Beverly Thomas,Technology - Networking 2,116,19,10:00:00
Rick White,Technology - Networking 3,74,10,08:30:00
James Harris,Science - Biology 3,20,11,12:00:00
George Martin,Science - Biology 4,127,34,13:00:00
Amy Roebuck,Science - Biology 1,62,62,16:00:00
Harry James,Health 3A,140,12,10:30:00
Bill Sluss,Health 2,21,3,09:00:00
John Jacob,Health 1,90,90,15:30:00
Jim Jeffs,Science - Geology 1,104,71,10:00:00
Jessica Taylor,History - World History AP,139,39,10:00:00
Jake Anderson,English - Language 2,140,34,08:00:00
Beverly Thomas,Math - Algebra 2,108,15,11:00:00
Rick White,Technology - Programming  1,115,106,16:00:00
James Harris,Technology - Programming  3,30,23,14:00:00
George Martin,Math - Algebra 1,33,15,12:00:00
Amy Roebuck,English - Language 1,129,109,16:00:00
Harry James,History - World History AP,124,35,13:00:00
